t,psiReal1,psiReal2
3195.183903678074,0.4098365254509604,-24.010512795938173
3195.2639052781055,1.4398007888079503,-24.36527849178824
3195.3439068781377,2.467461678141783,-24.681064941355594
3195.42390847817,3.49117515532197,-24.95736695370657
3195.503910078202,4.509303497235132,-25.19374250458146
3195.5839116782336,5.520217915792506,-25.389813443539023
3195.6639132782657,6.522301163643319,-25.54526609891648
3195.743914878298,7.513950121425445,-25.659851779637247
3195.82391647833,8.493578362414297,-25.733387173063605
3195.9039180783616,9.459618690467058,-25.76575463825778
3195.9839196783937,10.410525647202086,-25.756902394182344
3196.063921278426,11.344777984402537,-25.706844602538848
3196.143922878458,12.260881097688896,-25.615661345112088
3196.2239244784896,13.15736941756705,-25.483498495656367
3196.3039260785217,14.032808754026739,-25.310567486528594
3196.383927678554,14.885798590939533,-25.097144970441644
3196.463929278586,15.714974326585782,-24.84357237787905
3196.5439308786176,16.519009456726174,-24.550255370879082
3196.6239324786497,17.296617696725452,-24.21766319406206
3196.703934078682,18.046555039333356,-23.846327923939075
3196.7839356787135,18.767621744830763,-23.436843617703136
3196.8639372787457,19.458664260357224,-22.989865362864407
3196.9439388787778,20.118577065349385,-22.50610822924999
3197.02394047881,20.746304440137976,-21.986346125044783
3197.1039420788416,21.340842154874018,-21.431410558703536
3197.1839436788737,21.90123907608227,-20.842189308714755
3197.263945278906,22.426598688271838,-20.21962500334456
3197.343946878938,22.91608052816965,-19.564713612632616
3197.4239484789696,23.368901529282347,-18.87850285505259
3197.5039500790017,23.784337274635572,-18.162090521386173
3197.583951679034,24.16172315568655,-17.416622718492075
3197.663953279066,24.500455435555928,-16.643292035779638
3197.7439548790976,24.799992214877964,-15.843335637320246
3197.8239564791297,25.059854298723863,-15.018033282648828
3197.903958079162,25.279625963211416,-14.168705279421676
3197.983959679194,25.45895562057449,-13.296710371205943
3198.0639612792256,25.59755638162844,-12.403443563779874
3198.1439628792577,25.695206514731584,-11.490333893421244
3198.22396447929,25.75174980050851,-10.558842140754251
3198.303966079322,25.76709578176774,-9.610458493812239
3198.3839676793536,25.741219908213935,-8.64670016405483
3198.4639692793858,25.67416357572313,-7.66910895915335
3198.543970879418,25.56603406011817,-6.67924881642756
3198.6239724794495,25.417004345550275,-5.678703300879671
3198.7039740794817,25.22731284776132,-4.669073071828261
3198.783975679514,24.99726303266951,-3.651973322194925
3198.863977279546,24.7272229308887,-2.6290311945402713
3198.9439788795776,24.417624548957907,-1.6018831779830365
3199.0239804796097,24.068963178223054,-0.5721724901667076
3199.103982079642,23.681796602476503,0.4584535515380619
3199.183983679674,23.256744205622017,1.4883461653897245
3199.2639852797056,22.794485980792675,2.5158577429747915
3199.3439868797377,22.295761442506976,3.5393444850297113
3199.42398847977,21.761368443603395,4.557169031168923
3199.503990079802,21.19216189884612,5.567703079312072
3199.5839916798336,20.589052417243835,6.569329990619883
3199.6639932798657,19.953004845269636,7.560447375771321
3199.743994879898,19.28503672331256,8.539469658444576
3199.82399647993,18.586216657830096,9.504830611900829
3199.9039980799616,17.857662611805875,10.454985864612823
3199.9839996799938,17.100540116247462,11.388415370929742
3200.064001280026,16.316060405585468,12.303625842825904
3200.144002880058,15.50547847995691,13.199153138842938
3200.2240044800897,14.670091097472804,14.07356460640369
3200.304006080122,13.8112346996819,14.92546137375063
3200.384007680154,12.93028327354939,15.753480587842166
3200.4640092801856,12.028646153370957,16.55629759462668
3200.5440108802177,11.107765766138638,17.332628058206353
3200.62401248025,10.169115323965435,18.08123001550053
3200.704014080282,9.214196467260313,18.80090586312163
3200.7840156803136,8.244536862423965,19.490504273285016
3200.8640172803457,7.261687757908572,20.14892203568775
3200.944018880378,6.267221502551293,20.775105822409685
3201.02402048041,5.262729030151655,21.36805387301336
3201.1040220804416,4.249817314316954,21.926817597146925
3201.1840236804737,3.230106797647405,22.450503092086304
3201.264025280506,2.2052287993737623,22.93827257278878
3201.344026880538,1.1768229055946575,23.389345712170307
3201.4240284805696,0.1465343462887143,23.803000889462325
3201.5040300806018,-0.8839886367023426,24.178576344651
3201.584031680634,-1.9130974265089158,24.515471237152035
3201.664033280666,-2.9391456686687283,24.81314660702739
3201.7440348806977,-3.960491904942648,25.071126237206187
3201.82403648073,-4.975502199297601,25.288997415330382
3201.904038080762,-5.982552751855557,25.46641159400648
3201.984039680794,-6.98003249662683,25.603084948406998
3202.0640412808257,-7.966345678871884,25.6987988303296
3202.144042880858,-8.939914407968388,25.753400117987592
3202.22404448089,-9.899181181699516,25.76680146097208
3202.3040460809216,-10.842611377925131,25.738981419994
3202.3840476809537,-11.768695709649739,25.669984501182405
3202.464049280986,-12.675952639559618,25.559921084884145
3202.544050881018,-13.56293075016637,25.408967249078877
3202.6240524810496,-14.428211065765188,25.217364487691867
3202.7040540810817,-15.270409322493187,24.985419324255243
3202.784055681114,-16.088178182856197,24.713502821535748
3202.864057281146,-16.880209391181246,24.4020499879135
3202.9440588811776,-17.64523586654647,24.05155908146141
3203.0240604812097,-18.382033729840202,23.662590812838584
3203.104062081242,-19.089424261706387,23.23576744827292
3203.184063681274,-19.766275788244027,22.771771814067932
3203.2640652813056,-20.411505491443936,22.271346204226372
3203.3440668813378,-21.024081141466496,21.735291192938217
3203.42406848137,-21.60302274798912,21.164464353832805
3203.504070081402,-22.147404127981655,20.559778888044033
3203.5840716814337,-22.656354387401603,19.92220216328339
3203.664073281466,-23.12905931443873,19.252754166258068
3203.744074881498,-23.564762682080232,18.552505870909872
3203.82407648153,-23.962767457912577,17.82257752508545
3203.9040780815617,-24.32243691922463,17.064136858378788
3203.984079681594,-24.643195671628114,16.278397214013047
3204.064081281626,-24.924530569565864,15.466615607750313
3204.1440828816576,-25.165991537235204,14.630090716934617
3204.2240844816897,-25.36719228861319,13.770160802885309
3204.304086081722,-25.527810945431824,12.888201569964513
3204.384087681754,-25.647590552114597,11.98562396474372
3204.4640892817856,-25.72633948685057,11.063871918790344
3204.5440908818177,-25.763931768148396,10.12442003868534
3204.62409248185,-25.760307256379807,9.16877124696734
3204.704094081882,-25.715471749990204,8.198454377777303
3204.7840956819136,-25.629496976222363,7.2150217310501175
3204.8640972819458,-25.502520476368165,6.220046589165962
3204.944098881978,-25.334745385731875,5.215120700034213
3205.02410048201,-25.126440108657004,4.201851730636453
3205.1041020820417,-24.87793788913663,3.181860695102363
3205.184103682074,-24.589636277694122,2.1567793614330206
3205.264105282106,-24.26199649538714,1.1282476410203008
3205.344106882138,-23.89554269595236,0.09791096513859143
3205.4241084821697,-23.490861127271337,-0.9325823473941295
3205.504110082202,-23.048599193499005,-1.9615837271746666
3205.584111682234,-22.569464419355175,-2.987446991573864
3205.664113282266,-22.05422331823596,-4.008530978277535
3205.7441148822977,-21.5037001659559,-5.023202170795956
3205.82411648233,-20.91877568208258,-6.029837311741674
3205.904118082362,-20.300385620973213,-7.026825999694939
3205.9841196823936,-19.64951927476739,-8.012573265502336
3206.0641212824257,-18.96721789073074,-8.985502123887075
3206.144122882458,-18.254573005481504,-9.944056096288925
3206.22412448249,-17.512724698764867,-10.886701700897772
3206.3041260825216,-16.742859769568643,-11.811930905897286
3206.3841276825538,-15.94620983749815,-12.718263541994029
3206.464129282586,-15.124049372447661,-13.604249670372468
3206.544130882618,-14.277693655720523,-14.468471902287684
3206.6241324826497,-13.408496675859743,-15.3095476665849
3206.704134082682,-12.517848962555249,-16.126131421518306
3206.784135682714,-11.607175362093107,-16.91691680733073
3206.864137282746,-10.677932757905518,-17.68063873615048
3206.9441388827777,-9.7316077398682,-18.416075415861986
3207.02414048281,-8.769714226073821,-19.122050304712463
3207.104142082842,-7.793791040886098,-19.797433993527655
3207.184143682874,-6.805399453149187,-20.441146012525508
3207.2641452829057,-5.806120678490695,-21.052156559837268
3207.344146882938,-4.797553349714083,-21.629488148970708
3207.42414848297,-3.781310959327321,-22.17221717257994
3207.5041500830016,-2.7590192782991743,-22.67947538004008
3207.5841516830337,-1.7323137551725751,-23.150451266462966
3207.664153283066,-0.7028368996959455,-23.58439137093181
3207.744154883098,0.3277643448419074,-23.9806014818779
3207.8241564831296,1.3578412363696115,-24.33844774767095
3207.9041580831617,2.3857458716687194,-24.657357690646474
3207.984159683194,3.4098338226672116,-24.936821122947862
3208.064161283226,4.428466767173509,-25.17639096271811
3208.1441628832576,5.440015109842375,-25.37568394933536
3208.2241644832898,6.442860589179731,-25.53438125654814
3208.304166083322,7.435398866415727,-25.65222900252931
