,no1_gain_0.0,no2_gain_0.0,no3_gain_0.0,no1_gain_2.0,no2_gain_2.0,no3_gain_2.0
0.0,1.0053096491487339,2.0106192982974678,3.996105855366217,1.0053096491487339,2.0106192982974678,3.996105855366217
0.5,1.3320352851220723,1.3320352851220723,1.3320352851220723,0.6534512719466771,1.5079644737231006,3.64424747816416
1.0,1.7844246272390027,1.7844246272390027,1.7844246272390027,1.9603538158400309,1.9603538158400309,1.9603538158400309
1.5,2.261946710584651,2.261946710584651,2.261946710584651,2.312212193042088,2.312212193042088,2.312212193042088
2.0,2.2870794518133692,2.2870794518133692,2.2870794518133692,2.312212193042088,2.312212193042088,2.312212193042088
