kappa,$\omega_{0}$,$\omega_{1}$,$\omega_{2}$,$\omega_{3}$,$\omega_{4}$
19,-0.890501982865239,0.8905019828652337,5.909136086556978e-16,-0.5105201825290906,0.510520182529092
20,-0.8864372171215931,0.8864372171215904,-1.5032800134596622e-16,-0.5126510096378275,0.512651009637828
21,-0.8829691491806515,0.8829691491806515,-8.737004563064155e-16,-0.5143666140175743,0.514366614017577
22,-0.8799858552413462,0.8799858552413417,-1.1890075395483385e-15,-0.5157624432496514,0.515762443249652
23,-0.8774005423012512,0.8774005423012492,2.3844591543823198e-15,-0.516911427275863,0.5169114272758639
24,-0.8751450652693373,0.8751450652693316,1.5558303517075228e-15,-0.51786802459144,0.5178680245914408
25,-0.8731653122599687,0.873165312259976,-3.080848024518507e-16,-0.5186729154175431,0.5186729154175432
26,-0.8714178687454099,0.8714178687454186,-6.343818928479848e-17,-0.5193567434796326,0.5193567434796319
27,-0.8698675716645847,0.869867571664585,-1.226440723806412e-15,-0.5199428508729921,0.5199428508729934
28,-0.868485692392349,0.8684856923923485,2.9074514912341584e-15,-0.5204492296649578,0.5204492296649591
29,-0.8672485704267978,0.867248570426796,2.1925969998269463e-15,-0.520889911000968,0.5208899110009694
30,-0.8661365744030212,0.8661365744030181,1.7909247217363076e-15,-0.521275959766284,0.5212759597662843
31,-0.865133303753177,0.8651333037531734,7.582193200950464e-16,-0.5216161936323375,0.5216161936323415
32,-0.8642249693158126,0.8642249693158035,9.171692116007366e-16,-0.521917708563525,0.5219177085635264
33,-0.8633999084372634,0.8633999084372681,9.6850257250706e-16,-0.5221862672290641,0.5221862672290644
34,-0.8626482021606887,0.8626482021606976,1.1419955599687053e-15,-0.5224265892954322,0.5224265892954322
35,-0.8619613706278939,0.8619613706279015,-1.8310332543094074e-16,-0.5226425707265654,0.5226425707265658
36,-0.8613321289258009,0.8613321289257971,-3.1667491590101097e-16,-0.5228374511571894,0.5228374511571909
37,-0.8607541900283537,0.8607541900283595,2.4660531238760347e-15,-0.523013942879016,0.5230139428790177
38,-0.8602221047149146,0.8602221047149059,1.920029208851733e-16,-0.5231743311576887,0.5231743311576902
39,-0.8597311307304889,0.8597311307304815,1.6697308698465575e-15,-0.5233205529283997,0.523320552928401
40,-0.8592771252290832,0.8592771252290827,5.831778300053171e-16,-0.5234542590336633,0.5234542590336643
41,-0.8588564558746672,0.8588564558746636,2.1053877182950997e-15,-0.523576863823075,0.5235768638230767
42,-0.8584659269844581,0.8584659269844599,1.7609874991241174e-15,-0.5236895849672961,0.5236895849672969
43,-0.8581027178696436,0.8581027178696512,5.639058204111349e-16,-0.5237934756349013,0.5237934756349016
44,-0.8577643311205967,0.857764331120604,-4.0838079476987995e-16,-0.5238894506644517,0.5238894506644551
45,-0.8574485490419113,0.8574485490419151,1.9141557886951273e-15,-0.5239783079817929,0.5239783079817975
46,-0.8571533967993719,0.8571533967993787,-1.832888740489747e-15,-0.5240607462272049,0.5240607462272066
47,-0.8568771111207629,0.8568771111207488,3.5848592748802077e-17,-0.5241373793420575,0.5241373793420587
48,-0.85661811361218,0.8566181136121697,-1.0818391750051887e-15,-0.5242087487017787,0.5242087487017797
49,-0.8563749879274267,0.8563749879274298,-1.9738153790615472e-15,-0.5242753332572238,0.524275333257224
50,-0.8561464601658841,0.8561464601658627,7.24259108724053e-17,-0.5243375580507916,0.5243375580507941
51,-0.8559313819870218,0.8559313819870141,5.645779033429877e-15,-0.524395801399417,0.524395801399417
52,-0.8557287160188978,0.8557287160188979,1.8956481461492483e-15,-0.524450400978549,0.5244504009785504
53,-0.8555375232105875,0.8555375232105837,7.119325603016063e-15,-0.5245016589960405,0.5245016589960408
54,-0.8553569518377675,0.855356951837778,1.7296122514191329e-15,-0.5245498466088071,0.5245498466088089
55,-0.8551862279187374,0.8551862279187374,4.368044648306781e-15,-0.5245952077069533,0.5245952077069549
56,-0.8550246468373521,0.8550246468373451,3.0290239421187496e-15,-0.5246379621671854,0.5246379621671861
57,-0.8548715660021047,0.8548715660021113,1.8114754166725197e-15,-0.5246783086593456,0.5246783086593435
58,6.467049118441537e-15,-0.854726398397313,0.8547263983973221,-0.5247164270751293,0.5247164270751307
59,1.1379786002407855e-15,-0.8545886069041857,0.8545886069041916,-0.5247524806363574,0.5247524806363579
60,2.8033131371785203e-15,-0.8544576992886898,0.8544576992886868,-0.5247866177303534,0.5247866177303557
61,4.0245584642661925e-15,-0.8543332237678215,0.8543332237678283,-0.5248189735123524,0.5248189735123524
62,-1.5543122344752192e-15,-0.8542147650793696,0.854214765079346,-0.524849671308225,0.5248496713082289
63,2.3869795029440866e-15,-0.8541019409904879,0.8541019409904995,-0.5248788238456582,0.5248788238456614
64,1.6375789613221059e-15,-0.8539943991904105,0.8539943991904012,-0.5249065343373936,0.5249065343373909
65,-3.3306690738754696e-16,-0.8538918145189324,0.853891814518941,-0.5249328974366594,0.5249328974366588
66,-2.7755575615628914e-17,-0.8537938864906102,0.853793886490609,-0.5249580000818331,0.5249580000818337
67,6.328271240363392e-15,-0.8537003370784804,0.8537003370784814,-0.5249819222447875,0.5249819222447852
68,-1.3877787807814457e-16,-0.8536109087269788,0.8536109087269692,-0.5250047375953647,0.5250047375953637
69,3.0808688933348094e-15,-0.8535253625671879,0.8535253625671734,-0.5250265140926474,0.5250265140926444
70,1.4432899320127035e-15,-0.8534434768112148,0.8534434768112107,-0.5250473145120517,0.5250473145120513
71,-2.0816681711721685e-15,-0.8533650453055157,0.8533650453054993,-0.5250671969162145,0.5250671969162146
72,1.0269562977782698e-15,-0.8532898762251634,0.8532898762251533,-0.5250862150763909,0.5250862150763929
