freq,R,T
-5.0,0.9210564057292928,0.00024441979327181543
-4.95,0.9205278937240715,0.0002548829333657631
-4.9,0.9199946851145085,0.00026585810957839535
-4.85,0.9194568278681888,0.0002773737338387061
-4.8,0.9189143809719503,0.0002894599854959842
-4.75,0.9183674154306618,0.000302148932920823
-4.7,0.9178160153432702,0.000315474664222337
-4.65,0.9172602790615058,0.000329473427814316
-4.6,0.916700320436935,0.00034418378362491915
-4.55,0.9161362701623575,0.00035964676581185477
-4.5,0.9155682772138515,0.0003759060579181412
-4.45,0.9149965104000766,0.00039300818148300416
-4.4,0.9144211600257431,0.00041100269920878353
-4.35,0.9138424396764389,0.000429942433878455
-4.3,0.9132605881322626,0.0004498837043200848
-4.25,0.9126758714179664,0.00047088657982506145
-4.2,0.9120885849974766,0.0004930151545464941
-4.15,0.9114990561208335,0.0005163378435341911
-4.1,0.9109076463316463,0.0005409277022031259
-4.05,0.9103147541431593,0.0005668627711844863
-4.0,0.9097208178909043,0.0005942264486731291
-3.95,0.9091263187696665,0.0006231078925629637
-3.9,0.9085317840620751,0.0006536024548537554
-3.8499999999999996,0.907937790565516,0.0006858121510195691
-3.8,0.9073449682232102,0.0007198461672514913
-3.75,0.9067540039641446,0.0007558214087261224
-3.7,0.9061656457550447,0.0007938630923071856
-3.65,0.9055807068656487,0.000834105387361107
-3.5999999999999996,0.9050000703461113,0.000876692108658736
-3.55,0.9044246937123278,0.0009217774656448692
-3.5,0.903855613831227,0.0009695268726843714
-3.45,0.9032939519934797,0.0010201178252380472
-3.4,0.9027409191554813,0.0010737408472815885
-3.3499999999999996,0.9021978213256897,0.0011306005156551317
-3.3,0.9016660650622464,0.0011909165674163192
-3.25,0.9011471630390222,0.0012549250966620439
-3.2,0.9006427396255351,0.0013228798476781663
-3.15,0.9001545364122817,0.001395053611665049
-3.0999999999999996,0.8996844175964909,0.001471739734659976
-3.05,0.8992343751237841,0.0015532537446235719
-3.0,0.8988065334581415,0.0016399351059601856
-2.9499999999999997,0.8984031538254551,0.0017321491099816547
-2.9,0.8980266377440698,0.0018302889099753787
-2.85,0.8976795296184108,0.0019347777095685898
-2.8,0.8973645181282051,0.0020460711129526112
-2.75,0.8970844360950193,0.0021646596451934496
-2.6999999999999997,0.8968422584487971,0.002291071450249269
-2.65,0.8966410978486494,0.0024258751733640884
-2.5999999999999996,0.8964841974330248,0.0025696830331196695
-2.55,0.8963749200832025,0.002723154086491323
-2.5,0.8963167334792538,0.002886997687628569
-2.4499999999999997,0.8963131901076693,0.0030619771376019307
-2.4,0.8963679012430086,0.0032489135178171125
-2.3499999999999996,0.896484503770589,0.0034486896939512754
-2.3,0.8966666185417239,0.0036622544698128798
-2.25,0.8969177987558897,0.003890626861111309
-2.1999999999999997,0.8972414666443365,0.004134900447312703
-2.15,0.8976408364863676,0.004396247745047279
-2.0999999999999996,0.8981188217230566,0.004675924528314692
-2.05,0.8986779236448277,0.004975273998298304
-2.0,0.8993200988222599,0.00529573067812295
-1.9499999999999997,0.9000466021290305,0.0056388238744168925
-1.9,0.9008578018808876,0.006006180506988038
-1.8499999999999996,0.9017529632979614,0.006399527059085647
-1.7999999999999998,0.9027299962085317,0.006820690342268461
-1.75,0.9037851626771997,0.007271596700443954
-1.6999999999999997,0.904912740095667,0.0077542691957716734
-1.65,0.9061046352692175,0.008270822223528571
-1.5999999999999996,0.9073499452314524,0.008823452892671203
-1.5499999999999998,0.9086344610084007,0.009414428383174736
-1.5,0.9099401114389873,0.010046068350636848
-1.4499999999999997,0.9112443455778171,0.010720721294855615
-1.4,0.9125194543256026,0.011440733645965895
-1.3499999999999996,0.9137318349532192,0.012208410156105036
-1.2999999999999998,0.914841206341641,0.013025964027544067
-1.25,0.9157997883142561,0.013895455076519514
-1.1999999999999997,0.916551465668144,0.01481871414980924
-1.15,0.9170309666851696,0.01579725201192593
-1.0999999999999996,0.9171630972401364,0.016832151049381027
-1.0499999999999998,0.9168620852247977,0.017923938452177504
-1.0,0.916031105768765,0.019072440101957758
-0.9500000000000002,0.9145620752226805,0.020276615302852893
-0.8999999999999995,0.9123358201422328,0.021534373823166413
-0.8499999999999996,0.9092227449588279,0.022842378557808247
-0.7999999999999998,0.9050841361563872,0.024195839536058545
-0.75,0.8997742480819528,0.025588308003098616
-0.7000000000000002,0.8931433114244265,0.02701148283131799
-0.6499999999999995,0.8850415844356826,0.028455045379111216
-0.5999999999999996,0.8753245233022454,0.029906542753230108
-0.5499999999999998,0.8638590764712546,0.03135134268654027
-0.5,0.850531005079899,0.032772685149146996
-0.4500000000000002,0.8352529989312936,0.03415185543725468
-0.39999999999999947,0.8179732019868414,0.03546849985638808
-0.34999999999999964,0.7986835984660348,0.0367010974207723
-0.2999999999999998,0.7774275643376662,0.03782758885976636
-0.25,0.7543057901732824,0.0388261480409458
-0.1999999999999993,0.7294797632706825,0.039676062076348224
-0.14999999999999947,0.7031720877192261,0.040358667329391085
-0.09999999999999964,0.6756631343941186,0.04085827257505684
-0.04999999999999982,0.6472838398159412,0.041162991231950906
0.0,0.6184048777420877,0.04126540483714278
0.05000000000000071,0.589422850827608,0.04116299123195132
0.10000000000000053,0.5607445193396448,0.04085827257505701
0.15000000000000036,0.532770331117608,0.04035866732939131
0.20000000000000018,0.5058785944994807,0.039676062076348044
0.25,0.4804115305788988,0.038826148040945994
0.3000000000000007,0.45666417695880024,0.037827588859766226
0.35000000000000053,0.43487674612005095,0.03670109742077198
0.40000000000000036,0.4152306366154984,0.03546849985638836
0.4500000000000002,0.3978479212305939,0.03415185543725482
